term_id	exclusion_reason
NCIT:C100448	MONDO:excludeNonDisease
NCIT:C100449	MONDO:excludeNonDisease
NCIT:C10045	MONDO:excludeNonDisease
NCIT:C100450	MONDO:excludeNonDisease
NCIT:C100452	MONDO:excludeNonDisease
NCIT:C100453	MONDO:excludeNonDisease
NCIT:C100454	MONDO:excludeNonDisease
NCIT:C100455	MONDO:excludeNonDisease
NCIT:C100456	MONDO:excludeNonDisease
NCIT:C100457	MONDO:excludeNonDisease
NCIT:C100458	MONDO:excludeNonDisease
NCIT:C100459	MONDO:excludeNonDisease
NCIT:C10046	MONDO:excludeNonDisease
NCIT:C100460	MONDO:excludeNonDisease
NCIT:C100461	MONDO:excludeNonDisease
NCIT:C100462	MONDO:excludeNonDisease
NCIT:C100463	MONDO:excludeNonDisease
NCIT:C100464	MONDO:excludeNonDisease
NCIT:C100465	MONDO:excludeNonDisease
NCIT:C100466	MONDO:excludeNonDisease
NCIT:C100467	MONDO:excludeNonDisease
NCIT:C100468	MONDO:excludeNonDisease
NCIT:C100469	MONDO:excludeNonDisease
NCIT:C10047	MONDO:excludeNonDisease
NCIT:C100470	MONDO:excludeNonDisease
NCIT:C100471	MONDO:excludeNonDisease
NCIT:C100472	MONDO:excludeNonDisease
NCIT:C100473	MONDO:excludeNonDisease
NCIT:C100474	MONDO:excludeNonDisease
NCIT:C100475	MONDO:excludeNonDisease
NCIT:C100476	MONDO:excludeNonDisease
NCIT:C100477	MONDO:excludeNonDisease
NCIT:C100478	MONDO:excludeNonDisease
NCIT:C100479	MONDO:excludeNonDisease
NCIT:C10048	MONDO:excludeNonDisease
NCIT:C100480	MONDO:excludeNonDisease
NCIT:C100481	MONDO:excludeNonDisease
NCIT:C100482	MONDO:excludeNonDisease
NCIT:C100483	MONDO:excludeNonDisease
NCIT:C100484	MONDO:excludeNonDisease
NCIT:C100485	MONDO:excludeNonDisease
NCIT:C100486	MONDO:excludeNonDisease
NCIT:C100487	MONDO:excludeNonDisease
NCIT:C100488	MONDO:excludeNonDisease
NCIT:C100489	MONDO:excludeNonDisease
NCIT:C10049	MONDO:excludeNonDisease
NCIT:C100490	MONDO:excludeNonDisease
NCIT:C100491	MONDO:excludeNonDisease
NCIT:C100492	MONDO:excludeNonDisease
NCIT:C100493	MONDO:excludeNonDisease
NCIT:C100494	MONDO:excludeNonDisease
NCIT:C100495	MONDO:excludeNonDisease
NCIT:C100496	MONDO:excludeNonDisease
NCIT:C100497	MONDO:excludeNonDisease
NCIT:C100498	MONDO:excludeNonDisease
NCIT:C100499	MONDO:excludeNonDisease
NCIT:C1005	MONDO:excludeNonDisease
NCIT:C10050	MONDO:excludeNonDisease
NCIT:C100500	MONDO:excludeNonDisease
NCIT:C100501	MONDO:excludeNonDisease
NCIT:C100502	MONDO:excludeNonDisease
NCIT:C100503	MONDO:excludeNonDisease
NCIT:C100504	MONDO:excludeNonDisease
NCIT:C100505	MONDO:excludeNonDisease
NCIT:C100506	MONDO:excludeNonDisease
NCIT:C100507	MONDO:excludeNonDisease
NCIT:C100508	MONDO:excludeNonDisease
NCIT:C100509	MONDO:excludeNonDisease
NCIT:C10051	MONDO:excludeNonDisease
NCIT:C100510	MONDO:excludeNonDisease
NCIT:C100511	MONDO:excludeNonDisease
NCIT:C100512	MONDO:excludeNonDisease
NCIT:C100513	MONDO:excludeNonDisease
NCIT:C100514	MONDO:excludeNonDisease
NCIT:C100515	MONDO:excludeNonDisease
NCIT:C100516	MONDO:excludeNonDisease
NCIT:C100517	MONDO:excludeNonDisease
NCIT:C100518	MONDO:excludeNonDisease
NCIT:C100519	MONDO:excludeNonDisease
NCIT:C10052	MONDO:excludeNonDisease
NCIT:C100520	MONDO:excludeNonDisease
NCIT:C100521	MONDO:excludeNonDisease
NCIT:C100522	MONDO:excludeNonDisease
NCIT:C100523	MONDO:excludeNonDisease
